frameNo,frameScore,firstTokenOfFrame
0,6,need
1,4,or
2,204,distance
3,201,two
4,5,problem
5,23,natural
6,205,language
7,410,measures
8,202,or
9,4,distance
10,8,applications
11,12,word
12,6,sense
13,10,structure
14,202,texts
15,5,text
16,25,annotation
17,4,information
18,23,extraction
19,10,retrieval
20,205,automatic
21,26,selection
22,4,automatic
23,13,correction
24,14,word
25,13,errors
26,202,text
27,6,note
28,22,general
29,203,similarity
30,3,virtue
31,3,similarity
32,409,company
33,4,may
34,400,relationships
35,201,or
36,201,relationship
37,1,or
38,10,association
39,17,applications
40,15,similarity
41,13,example
42,6,money
43,14,cues
44,5,meaning
45,14,bank
46,207,good
47,9,trust
48,18,company
49,6,relative
50,202,merits
51,16,approaches
52,606,measure
53,31,can
54,7,good
55,413,one
56,29,or
57,414,one
58,214,two
59,403,measures
60,4,can
61,214,one
62,402,better
63,3,conditions
64,205,better
65,16,makes
66,215,measures
67,6,better
68,202,purpose
69,21,paper
70,232,performance
71,205,number
72,228,measures
73,212,use
74,19,applications
75,12,natural
76,10,language
77,6,information
78,6,retrieval
79,4,literature
80,1,topic
81,3,at
82,2,three
83,1,terms
84,215,authors
85,5,or
86,14,same
87,3,authors
88,4,similarity
89,204,distance
90,17,attempts
91,8,distinction
92,22,first
93,3,two
94,13,way
95,8,example
96,201,cars
97,15,he
98,7,cars
99,4,pair
100,5,similarity
101,5,special
102,19,case
103,4,perspective
104,14,paper
105,203,relationships
106,18,notion
107,10,association
108,9,morris
109,12,term
110,6,distance
111,4,may
112,6,cause
113,2,confusion
114,29,can
115,15,similarity
116,2,or
117,6,general
118,14,two
119,3,close
120,27,one
121,15,similarity
122,4,or
123,3,high
124,7,time
125,27,two
126,32,uses
127,207,one
128,8,one
129,204,sense
130,6,close
131,4,sense
132,20,view
133,6,distance
134,203,similarity
135,8,present
136,20,paper
137,10,number
138,4,methods
139,202,similarity
140,9,well
141,5,distance
142,18,opposite
143,4,similarity
144,15,presentation
145,1,reader
146,6,context
147,13,expressions
148,6,distance
149,23,close
150,11,particular
151,20,case
152,13,approaches
153,210,words
154,12,means
155,24,language
156,14,paper
157,208,term
158,12,will
159,6,particular
160,3,sense
161,12,word
162,4,want
163,8,clear
164,213,paper
165,2,two
166,10,words
167,16,short
168,35,way
169,17,similarity
170,4,or
171,8,behavior
172,9,words
173,233,term
174,16,word
175,406,similarity
176,2,lee
177,207,similarity
178,210,denotation
179,207,similarity
180,4,or
181,9,behavior
182,3,two
183,401,ideas
184,33,return
185,2,relationship
186,20,section
187,2,hierarchies
188,17,networks
189,6,will
190,7,use
191,5,terms
192,211,link
193,15,edge
194,3,relationships
195,10,nodes
196,38,term
197,409,view
198,207,aspect
199,206,or
200,16,meaning
201,10,network
202,222,view
203,7,or
204,20,aspects
205,16,running
206,206,text
207,211,examples
208,203,font
209,16,examples
210,209,words
211,29,italics
212,12,formulas
213,6,words
214,16,will
215,30,c
216,4,w
217,7,sake
218,2,uniformity
219,27,presentation
