frameNo,frameScore,firstTokenOfFrame
0,404,go
1,216,game
2,404,territory
3,16,game
4,2,progresses
5,213,board
6,404,areas
7,202,territory
8,202,groups
9,4,stones
10,4,areas
11,17,battles
12,8,result
13,36,expansion
14,13,reduction
15,20,capture
16,10,loss
17,10,area
18,28,case
19,23,trade
20,17,goes
21,4,players
22,13,loss
23,404,part
24,208,board
25,209,can
26,5,gain
27,28,part
28,10,board
29,2,principle
30,14,go
31,10,stones
32,6,must
33,206,liberty
34,14,board
35,207,liberty
36,8,open
37,212,point
38,208,intersection
39,205,stone
40,202,liberty
41,3,liberties
42,11,eye
43,401,group
44,404,stones
45,401,groups
46,255,stones
47,56,stones
48,201,groups
49,7,shape
50,59,capture
51,4,general
52,8,go
53,3,territory
54,5,attack
55,401,groups
56,202,groups
57,10,can
58,8,stay
59,6,life
60,401,groups
61,20,liberties
62,401,groups
63,10,situations
64,601,groups
65,2,must
66,16,capture
67,404,races
68,205,race
69,201,group
70,16,liberties
71,16,better
72,10,shape
73,6,will
74,9,capture
75,18,stones
76,8,races
77,13,questions
78,32,life
79,210,death
80,25,examples
81,413,go
82,89,game
83,83,ends
84,208,players
85,427,pass
86,209,players
87,234,pass
88,10,moves
89,438,game
90,24,player
91,606,number
92,59,points
93,406,number
94,26,stones
95,216,game
96,22,games
97,7,resignation
98,10,example
99,22,player
100,2,group
101,26,stones
102,33,opening
103,24,stages
104,51,game
105,7,players
106,210,positions
107,420,bases
108,20,corners
109,214,sides
110,17,board
111,209,bases
112,22,help
113,9,living
114,209,shapes
115,208,territory
116,17,players
117,215,start
118,217,corners
119,12,life
120,12,territory
121,416,corner
122,603,opening
123,19,sequences
124,416,points
125,222,points
126,118,lie
127,208,boundary
128,10,walls
129,109,black
130,258,white
131,20,value
132,211,side
133,202,pairs
134,54,white
135,3,black
136,202,groups
137,8,shape
138,16,making
139,220,moves
140,20,move
141,232,back
142,209,position
143,203,fights
144,21,life
145,201,group
146,17,worth
147,22,points
148,28,fights
149,12,picnic
150,8,side
151,216,lot
152,10,call
153,2,playing
154,2,players
155,10,strength
156,203,rank
157,6,handicaps
158,17,can
159,7,difference
160,206,place
