frameNo,frameScore,firstTokenOfFrame
0,5,no
1,204,possibility
2,5,walk
3,33,day
4,2,shrubbery
5,201,hour
6,4,morning
7,9,dinner
8,213,reed
9,6,no
10,6,company
11,6,cold
12,45,wind
13,14,clouds
14,6,rain
15,10,exercise
16,9,question
17,202,i
18,2,i
19,33,walks
20,2,afternoons
21,3,coming
22,11,home
23,6,twilight
24,31,fingers
25,8,toes
26,5,heart
27,128,nurse
28,4,consciousness
29,1,inferiority
30,232,john
31,54,reed
32,38,john
33,22,round
34,16,mama
35,1,lay
36,2,fireside
37,2,darlings
38,6,time
39,2,group
40,3,necessity
41,8,keeping
42,5,at
43,4,distance
44,11,observation
45,4,i
46,12,good
47,6,disposition
48,6,lighter
49,21,natural
50,4,must
51,1,privileges
52,7,children
53,3,does
54,401,i
55,201,i
56,2,i
57,52,like
58,29,or
59,15,child
60,4,elders
61,4,manner
62,7,can
63,402,i
64,402,i
65,15,volume
66,22,care
67,405,one
68,14,pictures
69,202,i
70,9,gathering
71,31,feet
72,202,i
73,14,like
74,16,red
75,5,curtain
76,71,close
77,2,i
78,33,double
79,32,retirement
80,35,folds
81,8,drapery
82,17,view
83,307,right
84,230,hand
85,6,left
86,4,clear
87,8,panes
88,8,glass
89,6,day
90,6,at
91,3,intervals
92,16,turning
93,5,leaves
94,6,book
95,15,i
96,202,aspect
97,4,afternoon
98,17,blank
99,28,cloud
100,11,scene
101,30,rain
102,6,blast
103,204,i
104,2,history
105,30,birds
106,402,i
107,8,speaking
108,18,pages
109,3,child
110,215,i
111,17,i
112,44,pass
113,5,blank
114,202,treat
115,29,solitary
116,29,rocks
117,3,coast
118,5,extremity
119,16,or
120,4,north
121,4,cape
122,3,ocean
123,21,whirls
124,5,boils
125,12,round
126,6,melancholy
127,3,thule
128,16,surge
129,2,i
130,112,pass
131,7,suggestion
132,12,shores
133,208,iceland
134,26,sweep
135,406,arctic
136,205,zone
137,204,regions
138,10,reservoir
139,239,frost
140,17,snow
141,8,ice
142,2,accumulation
143,4,centuries
144,13,pole
145,3,rigours
146,3,extreme
147,8,cold
148,10,realms
149,3,i
150,403,idea
151,15,like
152,10,notions
153,21,float
154,29,brains
155,13,words
156,15,pages
157,10,vignettes
158,3,significance
159,43,rock
160,16,standing
161,4,sea
162,11,spray
163,3,boat
164,4,coast
165,9,cold
166,10,moon
167,7,cloud
168,4,at
169,10,wreck
170,5,sinking
171,14,i
172,3,sentiment
173,29,solitary
174,9,headstone
175,41,gate
176,2,two
177,16,trees
178,6,low
179,14,horizon
180,3,wall
181,4,hour
182,14,two
183,2,sea
184,2,i
185,27,marine
186,30,phantoms
187,227,fiend
188,227,down
189,212,pack
190,3,i
191,800,object
192,30,terror
193,22,black
194,16,thing
195,5,rock
196,2,crowd
197,13,picture
198,208,story
199,5,understanding
200,2,tales
201,1,evenings
202,14,good
203,2,humour
204,25,nursery
205,14,hearth
206,23,reeds
207,9,lace
208,12,frills
209,8,nightcap
210,4,borders
211,28,fed
212,13,attention
213,15,passages
214,16,love
215,6,fairy
216,3,tales
217,2,ballads
218,4,or
219,9,at
220,14,period
221,206,i
222,19,pages
223,9,henry
224,4,knee
225,204,i
226,5,at
227,405,way
228,3,i
229,4,interruption
230,32,door
231,39,madam
232,28,voice
233,227,john
234,30,reed
235,401,he
236,202,he
237,6,room
238,27,dickens
239,2,he
240,28,sisters
241,30,here
242,13,mama
243,202,run
244,6,well
245,426,i
246,4,curtain
247,1,thought
248,252,i
249,52,i
250,202,he
251,40,john
252,55,reed
253,10,he
254,11,vision
255,52,or
256,207,conception
257,64,head
258,208,at
259,4,door
260,208,at
261,205,jack
262,206,i
263,9,i
264,3,at
265,2,idea
266,202,being
267,3,jack
268,204,do
269,201,want
270,5,i
271,5,do
272,201,want
273,53,master
274,2,reed
275,6,answer
276,27,i
277,2,want
278,4,here
279,210,seating
280,28,he
281,17,gesture
282,3,i
283,10,approach
284,20,stand
285,14,john
286,1,reed
287,203,years
288,79,four
289,202,years
290,210,i
291,10,i
292,6,ten
293,4,stout
294,3,age
295,14,skin
296,10,lineaments
297,14,visage
298,4,heavy
299,207,limbs
300,8,extremities
301,206,he
302,205,at
303,10,table
304,12,eye
305,2,cheeks
306,4,he
307,2,at
308,18,school
309,4,mama
310,10,home
311,2,month
312,4,or
313,4,two
314,5,account
315,1,health
316,4,miles
317,10,master
318,206,he
319,5,do
320,12,well
321,6,he
322,8,cakes
323,204,home
324,240,mothers
325,408,heart
326,210,opinion
327,204,idea
328,11,home
329,52,john
330,59,mother
331,3,sisters
332,2,antipathy
333,4,he
334,28,two
335,202,or
336,3,three
337,7,times
338,8,week
339,4,or
340,4,day
341,14,nerve
342,227,i
343,2,morsel
344,3,flesh
345,252,he
346,3,moments
347,230,i
348,10,terror
349,30,he
350,5,i
351,10,no
352,9,appeal
353,2,menaces
354,6,or
355,9,inflictions
356,53,servants
357,14,like
358,79,young
359,80,master
360,12,part
361,32,reed
362,10,blind
363,6,subject
364,6,saw
365,19,strike
366,32,or
367,12,abuse
368,27,he
369,8,presence
370,39,back
371,18,john
372,42,i
373,14,chair
374,231,he
375,18,three
376,3,tongue
377,10,at
378,252,he
379,226,i
380,28,he
381,213,strike
382,13,blow
383,228,i
384,13,appearance
385,12,deal
386,42,i
387,4,wonder
388,217,he
389,5,notion
390,30,face
391,7,at
392,8,speaking
393,27,he
394,14,i
395,16,equilibrium
396,55,back
397,32,step
398,5,or
399,3,two
400,20,chair
401,3,impudence
402,6,mama
403,3,he
404,13,way
405,10,curtains
406,7,look
407,14,two
408,39,rat
409,15,john
410,1,reeds
411,211,abuse
412,2,i
413,4,idea
414,20,care
415,7,blow
416,14,insult
417,5,curtain
418,53,he
419,203,i
420,16,reading
421,11,show
422,5,book
423,5,i
424,6,window
425,207,no
426,14,business
427,6,take
428,4,books
429,413,mama
430,8,no
431,1,money
432,37,father
433,7,left
434,4,none
435,6,here
436,15,children
437,2,like
438,16,same
439,3,meals
440,6,do
441,10,wear
442,2,at
443,6,mamas
444,4,expense
445,9,rummage
446,7,mine
447,15,house
448,7,or
449,6,will
450,6,do
451,4,years
452,8,go
453,220,stand
454,207,door
455,13,way
456,15,mirror
457,207,i
458,6,at
459,33,first
460,8,intention
461,4,i
462,30,saw
463,216,lift
464,3,poise
465,14,book
466,216,stand
467,11,act
468,4,i
469,3,aside
470,6,cry
471,12,alarm
472,8,volume
473,306,hit
474,9,i
475,38,fell
476,11,striking
477,60,head
478,14,door
479,219,cutting
480,30,cut
481,29,pain
482,5,sharp
483,18,terror
484,3,climax
485,13,boy
486,14,i
487,401,like
488,201,like
489,4,like
490,40,roman
491,14,emperors
492,202,i
493,2,goldsmiths
494,6,history
495,3,rome
496,202,opinion
497,226,i
498,2,parallels
499,2,silence
500,229,i
501,8,thought
502,232,he
503,232,i
504,4,mama
505,17,first
506,30,he
507,8,at
508,28,i
509,4,grasp
510,207,hair
511,206,shoulder
512,53,he
513,12,thing
514,202,i
515,9,saw
516,16,tyrant
517,22,i
518,21,drop
519,32,or
520,4,two
521,40,blood
522,75,head
523,17,down
524,3,neck
525,11,suffering
526,18,sensations
527,4,time
528,2,fear
529,401,i
530,3,sort
531,227,i
532,8,well
533,27,i
534,7,hands
535,2,he
536,229,rat
537,55,rat
538,8,aid
539,8,run
540,29,reed
541,8,scene
542,26,maid
543,2,i
544,4,words
545,219,dear
546,32,dear
547,3,fury
548,23,fly
549,2,at
550,83,master
551,29,john
552,11,picture
553,3,passion
554,26,reed
