frameNo,frameScore,firstTokenOfFrame
0,11,text
1,4,or
2,13,discourse
3,22,set
4,253,sentences
5,6,topic
6,53,sentences
7,4,phrases
8,208,text
9,207,will
10,4,same
11,5,text
12,8,will
13,403,quality
14,5,unity
15,16,property
16,202,cohesion
17,12,sentences
18,213,stick
19,7,function
20,204,whole
21,205,cohesion
22,208,conjunction
23,10,word
24,4,cohesion
25,9,guarantee
26,3,unity
27,406,text
28,216,device
29,408,way
30,401,text
31,203,hang
32,600,whole
33,210,work
34,204,cohesion
35,5,importance
36,4,indicator
37,201,text
38,5,unity
39,204,cohesion
40,4,cohesion
41,202,relationships
42,210,words
43,24,relation
44,5,words
45,6,classification
46,4,cohesion
47,6,type
48,4,dependency
49,2,relationship
50,11,words
51,8,five
52,3,basic
53,216,classes
54,22,examples
55,12,fall
56,13,class
57,204,note
58,4,identity
59,17,reference
60,4,or
61,11,repetition
62,27,same
63,409,word
64,20,use
65,17,superordinates
66,5,subordinates
67,22,examples
68,17,fall
69,11,class
70,5,collocation
71,201,relationships
72,2,words
73,202,can
74,2,two
75,401,categories
76,402,relationship
77,203,relationships
78,17,can
79,243,way
80,42,type
81,210,relation
82,202,members
83,206,set
84,29,one
85,28,two
86,3,three
87,28,members
88,24,set
89,27,white
90,3,relationships
91,10,like
92,28,mouth
93,6,face
94,210,example
95,6,illustration
96,6,collocation
97,8,word
98,204,relationship
99,5,garden
100,30,type
101,204,relationship
102,224,representation
103,12,point
104,15,view
105,8,collocation
106,5,relationships
107,204,words
108,603,environments
109,5,words
110,405,environments
111,411,situations
112,11,or
113,4,contexts
114,19,world
115,36,examples
116,324,post
117,51,office
118,32,service
119,402,stamps
120,10,leave
121,15,class
122,216,example
123,12,patterns
124,4,cohesion
125,6,specific
126,2,context
127,64,service
128,45,encounters
129,222,example
130,24,type
131,41,turning
132,19,example
133,23,section
134,13,words
135,213,situation
136,61,driving
137,4,car
138,23,situation
139,17,way
140,22,class
141,15,collocation
142,13,examples
143,5,priest
144,16,church
145,4,usa
146,22,whistle
147,14,stop
148,202,relationship
149,2,words
150,4,can
151,3,does
152,4,relationship
153,2,cohesion
154,203,pairs
155,405,words
156,206,succession
157,257,number
158,407,words
159,404,unit
160,208,text
161,12,sequences
162,16,words
163,10,will
164,402,distance
165,619,relation
166,19,word
167,36,chain
168,11,words
169,15,span
170,7,do
171,12,stop
172,4,at
173,5,sentence
174,9,boundaries
175,33,can
176,3,pair
177,404,words
178,10,or
179,9,range
180,202,text
181,9,portions
182,3,text
183,3,unity
184,26,meaning
185,416,example
186,10,sentences
187,213,example
188,411,section
189,14,example
190,35,front
191,4,lay
192,24,virgin
193,41,cut
194,56,pine
195,10,bush
196,216,houses
197,13,going
198,40,stages
199,209,construction
200,13,earth
201,20,stands
202,226,trees
203,27,nude
204,27,trees
205,4,mountains
206,40,chain
207,5,three
208,2,sentences
209,46,virgin
210,452,pine
211,109,bush
212,202,trees
213,3,trees
214,209,section
215,12,will
