frameNo,frameScore,firstTokenOfFrame
0,2,years
1,205,activity
2,11,building
3,3,corpora
4,4,at
5,206,levels
6,14,word
7,8,clause
8,2,text
9,4,strata
10,3,semantics
11,10,growing
12,19,interest
13,206,corpora
14,4,need
15,17,tools
16,22,support
17,2,corpus
18,215,annotation
19,18,exploration
20,6,annotations
21,216,well
22,208,levels
23,203,system
24,203,units
25,11,words
26,415,phrases
27,2,clauses
28,2,plenty
29,9,tools
30,5,instance
31,202,at
32,4,stratum
33,8,phrase
34,206,structure
35,9,can
36,2,at
37,2,accuracy
38,7,intervention
39,46,tools
40,2,corpus
41,233,christ
42,233,christ
43,216,b
44,217,browsers
45,204,tree
46,207,structures
47,212,unit
48,8,text
49,16,analysis
50,3,meaning
51,11,situation
52,6,two
53,75,first
54,21,automatic
55,220,annotation
56,34,possible
57,29,second
58,13,tools
59,18,annotation
60,19,exploration
61,206,aspects
62,16,analysis
63,406,structure
64,209,structure
65,208,aspect
66,404,texts
67,10,organization
68,32,interpretation
69,204,text
70,30,features
71,2,text
72,7,viewpoints
73,20,theory
74,17,one
75,203,cohesion
76,4,cohesion
77,20,set
78,207,means
79,214,texture
80,16,property
81,203,text
82,204,being
83,217,whole
84,5,sentences
85,3,cohesion
86,20,interpretation
87,28,element
88,5,text
89,22,one
90,6,sense
91,17,recourse
92,19,type
93,2,cohesion
94,18,reference
95,35,example
96,37,wash
97,18,core
98,4,six
99,208,apples
100,27,dish
101,7,example
102,8,tie
103,4,apples
104,3,cohesion
105,2,two
106,8,sentences
107,207,text
108,19,detection
109,10,ties
110,20,interpretation
111,104,text
112,4,corpora
113,19,reference
114,9,interest
115,7,linguistics
116,3,testing
117,5,theories
118,204,information
119,7,structure
120,2,loci
121,205,load
122,2,statuses
123,13,applications
124,204,information
125,6,extraction
126,7,or
127,8,information
128,8,retrieval
129,20,type
130,402,cohesion
131,14,reference
132,4,texture
133,203,cohesion
134,4,cf
135,2,cohesion
136,13,device
137,7,making
138,207,texts
139,10,hang
140,8,text
141,3,cf
142,5,chapter
143,2,cohesion
144,21,makes
145,9,contribution
146,5,texture
147,2,fifty
148,7,texts
149,208,ties
150,27,incarnation
151,2,cohesion
152,400,repetition
153,5,simple
154,11,string
155,209,repetition
156,7,or
157,13,repetition
158,17,means
159,219,variants
160,11,word
161,12,tie
162,32,complex
163,17,types
164,10,cohesion
165,8,work
166,4,basis
167,4,relationships
168,11,words
169,202,terms
170,6,sense
171,4,cf
172,27,examples
173,215,relation
174,204,italics
175,29,relation
176,13,high
177,214,face
